method,round,n_seeds,test_acc_mean,test_acc_sd,test_loss_mean,test_loss_sd
FedRep+FixedPointReference,4,3,0.13345091122868902,0.030401575319068747,2.694894005965438,0.21404201688232496
FedRep+FixedPointReference,5,3,0.12793379460046128,0.022106196706168646,2.637235611548209,0.2115743932930823
FedRep+FixedPointReference,6,3,0.16248360692805136,0.029227407192317145,2.590289265612591,0.25938228526198376
FedRep+FixedPointReference,7,3,0.15732826843937955,0.03074622022165374,2.499170749441796,0.14822735142000387
FedRep+FixedPointReference,8,3,0.14955003843892734,0.024259080626029758,2.6043748847666177,0.12013343976280061
FedRep+FixedPointReference,9,3,0.17835662280106723,0.007921516316971012,2.5085284085045685,0.053734125061926166
FedRep+FixedPointReference,10,3,0.1894813005924117,0.020696340133845425,2.41268277581328,0.0685046344005856
FedRep+FixedPointReference,11,3,0.20444987111653778,0.013822709608184238,2.273964031321035,0.08766763472492593
FedRep+FixedPointReference,12,3,0.24058246280468504,0.014652852077480561,2.1051106851035546,0.027843029966045665
FedRep+FixedPointReference,13,3,0.2442002442002442,0.025077082726123887,2.1119042445419702,0.03130365651329468
FedRep+FixedPointReference,14,3,0.2806493917605029,0.03848882564435581,2.140354566333822,0.031557891392127134
FedRep+FixedPointReference,15,3,0.28666395333062,0.015455896648647997,2.1425998454224655,0.12604361323202076
FedRep+FixedPointReference,16,3,0.3291728847284403,0.011370410524614669,1.9953294840450608,0.026671131526776182
FedRep+FixedPointReference,17,3,0.3452267896712341,0.0378065999329665,1.9116530903223485,0.13859652914589596
FedRep+FixedPointReference,18,3,0.3956043956043956,0.04291190497564881,1.8017951300666353,0.14436891651877518
FedRep+FixedPointReference,19,3,0.3837561615339393,0.026922369639346737,1.780681896720586,0.11735434721809627
FedRep+FixedPointReference,20,3,0.37887215664993446,0.007780858757835878,1.8110859414293812,0.08884911779064253
FedRep+FixedPointReference,21,3,0.3727671505449283,0.06536005462067297,1.7329872655262153,0.05159759953628427
FedRep+FixedPointReference,22,3,0.3667978112422557,0.0560210813442514,1.7458674032245107,0.05843362614981966
FedRep+FixedPointReference,23,3,0.382806493917605,0.056951678323909044,1.7654323017644509,0.040005297198053326
FedRep+FixedPointReference,24,3,0.38882105548772217,0.0473826868066127,1.7482579281997355,0.07485259419691909
FedRep+FixedPointReference,25,3,0.4047392936281825,0.042379827831454726,1.7529226768999906,0.051299518278637345
FedRep+FixedPointReference,26,3,0.409397187174965,0.04975668215247808,1.6811709588122492,0.12647199287546593
FedRep+FixedPointReference,27,3,0.3974132863021752,0.055838770417589445,1.7942757051903035,0.11377005797770452
FedRep+FixedPointReference,28,3,0.40424184868629315,0.049324787631615345,1.763878376791977,0.09368146238579415
FedRep+FixedPointReference,29,3,0.4145977479310813,0.05885672461629118,1.6743382452466482,0.10372092809719377
