seed,dimension,trial,clients,modulus_bits,max_abs_error,prepare_encryption_seconds,encryption_seconds,derive_key_seconds,prepare_decryption_seconds,decryption_seconds,payload_encode_seconds,round_seconds,ciphertext_payload_bytes,derived_key_payload_bytes
0,32,3,3,256,0,0.0001948000000000505,0.00011580000000055435,1.7000000003264404e-06,3.679999999928185e-05,0.0007511000000004486,2.7700000000407954e-05,0.0011568999999997942,6144,4
0,32,4,3,256,0,0.00018270000000075726,0.00011320000000036856,1.3000000000928935e-06,3.4799999999890474e-05,0.0007469999999996091,2.5899999999801082e-05,0.0011377000000001303,6144,4
0,32,5,3,256,0,0.0001959000000004707,0.00011090000000013589,1.000000000139778e-06,3.609999999998337e-05,0.0009252999999995737,2.8899999999332238e-05,0.0013285000000005098,6144,4
0,32,6,3,256,0,0.00019070000000009912,0.0001116999999997148,1.3000000000928935e-06,3.500000000045134e-05,0.0007560999999993712,2.749999999984709e-05,0.0011506999999992829,6144,4
1,32,0,3,256,0,0.00020329999999990633,0.00011209999999994835,1.4999999997655777e-06,3.4299999999376496e-05,0.0008612000000001174,4.329999999974632e-05,0.0012961999999996365,6144,4
1,32,1,3,256,0,0.00019619999999953563,0.00011310000000008813,1.5999999991578306e-06,3.530000000040445e-05,0.0007513000000001213,2.9899999999472016e-05,0.001157899999999934,6144,4
1,32,2,3,256,0,0.00029460000000014475,0.000187200000000054,3.200000000092018e-06,5.699999999997374e-05,0.0011691999999996483,3.170000000007889e-05,0.0017768000000000228,6144,4
1,32,3,3,256,0,0.00022829999999984807,0.00013880000000021653,2.3000000002326715e-06,4.350000000030718e-05,0.0008898000000003847,2.800000000036107e-05,0.001360599999999934,6144,4
1,32,4,3,256,0,0.00019239999999953739,0.00011109999999980857,1.699999999438262e-06,3.580000000003025e-05,0.0007561999999996516,2.6700000000268176e-05,0.00115360000000031,6144,4
1,32,5,3,256,0,0.00019210000000047245,0.00011239999999990147,1.600000000046009e-06,3.5399999999796705e-05,0.0007545000000002133,2.519999999961442e-05,0.0011497000000000313,6144,4
1,32,6,3,256,0,0.00018440000000019552,0.00011039999999962191,1.4999999997655777e-06,3.5399999999796705e-05,0.0007767999999996889,2.5899999999801082e-05,0.0011623000000007266,6144,4
2,32,0,3,256,0,0.00017800000000001148,0.00010289999999990584,1.1999999998124622e-06,6.779999999917408e-05,0.0006425999999999377,2.5499999999567535e-05,0.001045099999999799,6144,4
2,32,1,3,256,0,0.00016039999999950538,0.00010129999999985984,1.000000000139778e-06,6.700000000048334e-05,0.0006573999999996971,3.520000000012402e-05,0.001049100000000358,6144,4
2,32,2,3,256,0,0.0001728000000005281,0.00010120000000046758,1.1000000004202093e-06,6.91999999995474e-05,0.0006446999999996095,2.6399999999426882e-05,0.0010425999999998936,6144,4
2,32,3,3,256,0,0.00015979999999959915,0.00010129999999985984,1.1999999998124622e-06,6.329999999987734e-05,0.0006471000000001226,2.4899999999661304e-05,0.0010238999999998555,6144,4
2,32,4,3,256,0,0.00016969999999982832,0.00010140000000014027,1.000000000139778e-06,6.769999999978182e-05,0.000644599999999329,2.4500000000315936e-05,0.0010355999999998033,6144,4
2,32,5,3,256,0,0.00016869999999968854,0.0001006999999999536,1.1000000004202093e-06,7.109999999954653e-05,0.0006509999999995131,2.5599999999847967e-05,0.001045099999999799,6144,4
2,32,6,3,256,0,0.00016660000000001673,0.0001006999999999536,1.000000000139778e-06,6.679999999992248e-05,0.000643499999999797,2.529999999989485e-05,0.0010311000000005066,6144,4
3,32,0,3,256,0,0.00017759999999977794,0.00010419999999999874,1.4000000003733248e-06,3.460000000021779e-05,0.0007134000000004193,2.749999999984709e-05,0.0010874000000002937,6144,4
